# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-08-14
#
# GRDC-No.:              6242910
# River:                 LEITHA
# Station:               NICKELSDORF (KLAERANLAGE)
# Country:               --
# Latitude (DD):       47.94611111
# Longitude (DD):      17.0925
# Catchment area (km²):      
# Altitude (m ASL):        127.22
# Next downstream station:      -
# Remarks:               
# Owner of original data: Austria - Federal Ministry of Agriculture, Regions and Tourism (BMLRT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1984 - 2018
# No. of years:          35
# Last update:           2022-08-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 420
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1992-12-01;--:--;   -999.000;     11.900; 100
1993-01-01;--:--;   -999.000;      8.731; 100
1993-02-01;--:--;   -999.000;      7.840; 100
1993-03-01;--:--;   -999.000;      9.814; 100
1993-04-01;--:--;   -999.000;     12.193; 100
1993-05-01;--:--;   -999.000;      7.956; 100
1993-06-01;--:--;   -999.000;      4.914; 100
1993-07-01;--:--;   -999.000;      6.921; 100
1993-08-01;--:--;   -999.000;      5.170; 100
1993-09-01;--:--;   -999.000;      4.865; 100
1993-10-01;--:--;   -999.000;      7.279; 100
1993-11-01;--:--;   -999.000;      8.023; 100
1993-12-01;--:--;   -999.000;      8.738; 100
1994-01-01;--:--;   -999.000;     10.494; 100
1994-02-01;--:--;   -999.000;      6.374; 100
1994-03-01;--:--;   -999.000;      6.482; 100
1994-04-01;--:--;   -999.000;     10.756; 100
1994-05-01;--:--;   -999.000;      7.998; 100
1994-06-01;--:--;   -999.000;      7.164; 100
1994-07-01;--:--;   -999.000;      3.866; 100
1994-08-01;--:--;   -999.000;      3.079; 100
1994-09-01;--:--;   -999.000;      3.149; 100
1994-10-01;--:--;   -999.000;      2.878; 100
1994-11-01;--:--;   -999.000;      5.424; 100
1994-12-01;--:--;   -999.000;      5.556; 100
1995-01-01;--:--;   -999.000;      5.059; 100
1995-02-01;--:--;   -999.000;      6.191; 100
1995-03-01;--:--;   -999.000;      7.145; 100
1995-04-01;--:--;   -999.000;     14.960; 100
1995-05-01;--:--;   -999.000;      9.574; 100
1995-06-01;--:--;   -999.000;     10.064; 100
1995-07-01;--:--;   -999.000;      6.607; 100
1995-08-01;--:--;   -999.000;      4.591; 100
1995-09-01;--:--;   -999.000;      9.819; 100
1995-10-01;--:--;   -999.000;      4.967; 100
1995-11-01;--:--;   -999.000;      5.553; 100
1995-12-01;--:--;   -999.000;      7.759; 100
1996-01-01;--:--;   -999.000;      9.755; 100
1996-02-01;--:--;   -999.000;      7.391; 100
1996-03-01;--:--;   -999.000;      9.081; 100
1996-04-01;--:--;   -999.000;     21.833; 100
1996-05-01;--:--;   -999.000;     25.419; 100
1996-06-01;--:--;   -999.000;     15.200; 100
1996-07-01;--:--;   -999.000;     14.439; 100
1996-08-01;--:--;   -999.000;      8.977; 100
1996-09-01;--:--;   -999.000;     19.205; 100
1996-10-01;--:--;   -999.000;     20.171; 100
1996-11-01;--:--;   -999.000;     13.238; 100
1996-12-01;--:--;   -999.000;      8.576; 100
1997-01-01;--:--;   -999.000;      6.784; 100
1997-02-01;--:--;   -999.000;      9.104; 100
1997-03-01;--:--;   -999.000;     11.798; 100
1997-04-01;--:--;   -999.000;     15.703; 100
1997-05-01;--:--;   -999.000;     14.255; 100
1997-06-01;--:--;   -999.000;     11.274; 100
1997-07-01;--:--;   -999.000;     20.327; 100
1997-08-01;--:--;   -999.000;     11.061; 100
1997-09-01;--:--;   -999.000;      6.323; 100
1997-10-01;--:--;   -999.000;      6.133; 100
1997-11-01;--:--;   -999.000;      6.577; 100
1997-12-01;--:--;   -999.000;      8.989; 100
1998-01-01;--:--;   -999.000;      6.380; 100
1998-02-01;--:--;   -999.000;      4.399; 100
1998-03-01;--:--;   -999.000;      6.493; 100
1998-04-01;--:--;   -999.000;      9.506; 100
1998-05-01;--:--;   -999.000;      7.603; 100
1998-06-01;--:--;   -999.000;      8.199; 100
1998-07-01;--:--;   -999.000;     11.984; 100
1998-08-01;--:--;   -999.000;      6.288; 100
1998-09-01;--:--;   -999.000;      9.033; 100
1998-10-01;--:--;   -999.000;      9.946; 100
1998-11-01;--:--;   -999.000;     10.172; 100
1998-12-01;--:--;   -999.000;      9.791; 100
1999-01-01;--:--;   -999.000;      7.925; 100
1999-02-01;--:--;   -999.000;      8.805; 100
1999-03-01;--:--;   -999.000;     11.162; 100
1999-04-01;--:--;   -999.000;     11.556; 100
1999-05-01;--:--;   -999.000;     15.052; 100
1999-06-01;--:--;   -999.000;     10.778; 100
1999-07-01;--:--;   -999.000;     14.413; 100
1999-08-01;--:--;   -999.000;     14.042; 100
1999-09-01;--:--;   -999.000;     15.223; 100
1999-10-01;--:--;   -999.000;      7.985; 100
1999-11-01;--:--;   -999.000;      7.791; 100
1999-12-01;--:--;   -999.000;      6.993; 100
2000-01-01;--:--;   -999.000;      6.245; 100
2000-02-01;--:--;   -999.000;     13.400; 100
2000-03-01;--:--;   -999.000;     14.945; 100
2000-04-01;--:--;   -999.000;     18.113; 100
2000-05-01;--:--;   -999.000;     10.506; 100
2000-06-01;--:--;   -999.000;      4.847; 100
2000-07-01;--:--;   -999.000;      4.872; 100
2000-08-01;--:--;   -999.000;      5.668; 100
2000-09-01;--:--;   -999.000;      4.242; 100
2000-10-01;--:--;   -999.000;      4.875; 100
2000-11-01;--:--;   -999.000;      4.368; 100
2000-12-01;--:--;   -999.000;      3.604; 100
2001-01-01;--:--;   -999.000;      3.736; 100
2001-02-01;--:--;   -999.000;      3.372; 100
2001-03-01;--:--;   -999.000;      5.363; 100
2001-04-01;--:--;   -999.000;      5.630; 100
2001-05-01;--:--;   -999.000;      3.417; 100
2001-06-01;--:--;   -999.000;      2.941; 100
2001-07-01;--:--;   -999.000;      2.328; 100
2001-08-01;--:--;   -999.000;      1.446; 100
2001-09-01;--:--;   -999.000;      4.440; 100
2001-10-01;--:--;   -999.000;      3.662; 100
2001-11-01;--:--;   -999.000;      3.209; 100
2001-12-01;--:--;   -999.000;      4.433; 100
2002-01-01;--:--;   -999.000;      4.542; 100
2002-02-01;--:--;   -999.000;      5.333; 100
2002-03-01;--:--;   -999.000;      9.409; 100
2002-04-01;--:--;   -999.000;      7.181; 100
2002-05-01;--:--;   -999.000;      4.895; 100
2002-06-01;--:--;   -999.000;      7.563; 100
2002-07-01;--:--;   -999.000;      4.836; 100
2002-08-01;--:--;   -999.000;     10.091; 100
2002-09-01;--:--;   -999.000;      5.097; 100
2002-10-01;--:--;   -999.000;      8.140; 100
2002-11-01;--:--;   -999.000;     11.072; 100
2002-12-01;--:--;   -999.000;     12.446; 100
2003-01-01;--:--;   -999.000;     12.105; 100
2003-02-01;--:--;   -999.000;     10.327; 100
2003-03-01;--:--;   -999.000;      9.472; 100
2003-04-01;--:--;   -999.000;      8.587; 100
2003-05-01;--:--;   -999.000;      8.648; 100
2003-06-01;--:--;   -999.000;      6.758; 100
2003-07-01;--:--;   -999.000;      3.777; 100
2003-08-01;--:--;   -999.000;      3.163; 100
2003-09-01;--:--;   -999.000;      3.668; 100
2003-10-01;--:--;   -999.000;      3.282; 100
2003-11-01;--:--;   -999.000;      3.835; 100
2003-12-01;--:--;   -999.000;      2.906; 100
2004-01-01;--:--;   -999.000;      6.513; 100
2004-02-01;--:--;   -999.000;      9.448; 100
2004-03-01;--:--;   -999.000;     10.204; 100
2004-04-01;--:--;   -999.000;     10.686; 100
2004-05-01;--:--;   -999.000;     10.460; 100
2004-06-01;--:--;   -999.000;     13.105; 100
2004-07-01;--:--;   -999.000;      8.841; 100
2004-08-01;--:--;   -999.000;      5.039; 100
2004-09-01;--:--;   -999.000;      2.644; 100
2004-10-01;--:--;   -999.000;      4.113; 100
2004-11-01;--:--;   -999.000;      3.830; 100
2004-12-01;--:--;   -999.000;      3.847; 100
2005-01-01;--:--;   -999.000;      4.185; 100
2005-02-01;--:--;   -999.000;      5.219; 100
2005-03-01;--:--;   -999.000;     11.870; 100
2005-04-01;--:--;   -999.000;     13.207; 100
2005-05-01;--:--;   -999.000;     11.184; 100
2005-06-01;--:--;   -999.000;      6.024; 100
2005-07-01;--:--;   -999.000;      8.039; 100
2005-08-01;--:--;   -999.000;      9.207; 100
2005-09-01;--:--;   -999.000;      8.380; 100
2005-10-01;--:--;   -999.000;      6.362; 100
2005-11-01;--:--;   -999.000;      4.664; 100
2005-12-01;--:--;   -999.000;      5.628; 100
2006-01-01;--:--;   -999.000;      5.481; 100
2006-02-01;--:--;   -999.000;      6.449; 100
2006-03-01;--:--;   -999.000;     10.175; 100
2006-04-01;--:--;   -999.000;     13.570; 100
2006-05-01;--:--;   -999.000;     12.305; 100
2006-06-01;--:--;   -999.000;     15.792; 100
2006-07-01;--:--;   -999.000;      8.730; 100
2006-08-01;--:--;   -999.000;     10.866; 100
2006-09-01;--:--;   -999.000;      5.471; 100
2006-10-01;--:--;   -999.000;      4.464; 100
2006-11-01;--:--;   -999.000;      5.902; 100
2006-12-01;--:--;   -999.000;      4.614; 100
2007-01-01;--:--;   -999.000;      5.191; 100
2007-02-01;--:--;   -999.000;      5.617; 100
2007-03-01;--:--;   -999.000;      6.838; 100
