# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-08-14
#
# GRDC-No.:              6246185
# River:                 TEISCHNITZBACH
# Station:               SPOTTLING-TAURER
# Country:               --
# Latitude (DD):       47.0261
# Longitude (DD):      12.6344
# Catchment area (km²):      
# Altitude (m ASL):        1491.09
# Next downstream station:      -
# Remarks:               http://ehyd.gv.at/eHYD/MessstellenExtraData/owf?id=212126&file=4. AdaptAlp-ID: AU125
# Owner of original data: Austria - Federal Ministry of Agriculture, Regions and Tourism (BMLRT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1951 - 2018
# No. of years:          68
# Last update:           2022-08-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 816
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1959-10-01;--:--;   -999.000;      0.290; 100
1959-11-01;--:--;   -999.000;      0.125; 100
1959-12-01;--:--;   -999.000;      0.101; 100
1960-01-01;--:--;   -999.000;      0.083; 100
1960-02-01;--:--;   -999.000;      0.080; 100
1960-03-01;--:--;   -999.000;      0.081; 100
1960-04-01;--:--;   -999.000;      0.125; 100
1960-05-01;--:--;   -999.000;      0.637; 100
1960-06-01;--:--;   -999.000;      1.286; 100
1960-07-01;--:--;   -999.000;      1.115; 100
1960-08-01;--:--;   -999.000;      1.185; 100
1960-09-01;--:--;   -999.000;      0.573; 100
1960-10-01;--:--;   -999.000;      0.361; 100
1960-11-01;--:--;   -999.000;      0.262; 100
1960-12-01;--:--;   -999.000;      0.163; 100
1961-01-01;--:--;   -999.000;      0.112; 100
1961-02-01;--:--;   -999.000;      0.099; 100
1961-03-01;--:--;   -999.000;      0.118; 100
1961-04-01;--:--;   -999.000;      0.197; 100
1961-05-01;--:--;   -999.000;      0.464; 100
1961-06-01;--:--;   -999.000;      1.819; 100
1961-07-01;--:--;   -999.000;      1.529; 100
1961-08-01;--:--;   -999.000;      1.309; 100
1961-09-01;--:--;   -999.000;      0.897; 100
1961-10-01;--:--;   -999.000;      0.428; 100
1961-11-01;--:--;   -999.000;      0.198; 100
1961-12-01;--:--;   -999.000;      0.160; 100
1962-01-01;--:--;   -999.000;      0.100; 100
1962-02-01;--:--;   -999.000;      0.078; 100
1962-03-01;--:--;   -999.000;      0.070; 100
1962-04-01;--:--;   -999.000;      0.130; 100
1962-05-01;--:--;   -999.000;      0.417; 100
1962-06-01;--:--;   -999.000;      1.716; 100
1962-07-01;--:--;   -999.000;      1.671; 100
1962-08-01;--:--;   -999.000;      1.845; 100
1962-09-01;--:--;   -999.000;      0.839; 100
1962-10-01;--:--;   -999.000;      0.248; 100
1962-11-01;--:--;   -999.000;      0.138; 100
1962-12-01;--:--;   -999.000;      0.092; 100
1963-01-01;--:--;   -999.000;      0.065; 100
1963-02-01;--:--;   -999.000;      0.055; 100
1963-03-01;--:--;   -999.000;      0.055; 100
1963-04-01;--:--;   -999.000;      0.093; 100
1963-05-01;--:--;   -999.000;      0.339; 100
1963-06-01;--:--;   -999.000;      0.918; 100
1963-07-01;--:--;   -999.000;      1.215; 100
1963-08-01;--:--;   -999.000;      1.320; 100
1963-09-01;--:--;   -999.000;      0.607; 100
1963-10-01;--:--;   -999.000;      0.286; 100
1963-11-01;--:--;   -999.000;      0.218; 100
1963-12-01;--:--;   -999.000;      0.149; 100
1964-01-01;--:--;   -999.000;      0.081; 100
1964-02-01;--:--;   -999.000;      0.062; 100
1964-03-01;--:--;   -999.000;      0.060; 100
1964-04-01;--:--;   -999.000;      0.087; 100
1964-05-01;--:--;   -999.000;      0.555; 100
1964-06-01;--:--;   -999.000;      1.211; 100
1964-07-01;--:--;   -999.000;      1.116; 100
1964-08-01;--:--;   -999.000;      0.625; 100
1964-09-01;--:--;   -999.000;      0.562; 100
1964-10-01;--:--;   -999.000;      0.271; 100
1964-11-01;--:--;   -999.000;      0.172; 100
1964-12-01;--:--;   -999.000;      0.151; 100
1965-01-01;--:--;   -999.000;      0.107; 100
1965-02-01;--:--;   -999.000;      0.088; 100
1965-03-01;--:--;   -999.000;      0.087; 100
1965-04-01;--:--;   -999.000;      0.133; 100
1965-05-01;--:--;   -999.000;      0.413; 100
1965-06-01;--:--;   -999.000;      1.855; 100
1965-07-01;--:--;   -999.000;      2.149; 100
1965-08-01;--:--;   -999.000;      1.365; 100
1965-09-01;--:--;   -999.000;      1.115; 100
1965-10-01;--:--;   -999.000;      0.624; 100
1965-11-01;--:--;   -999.000;      0.184; 100
1965-12-01;--:--;   -999.000;      0.140; 100
1966-01-01;--:--;   -999.000;      0.104; 100
1966-02-01;--:--;   -999.000;      0.077; 100
1966-03-01;--:--;   -999.000;      0.075; 100
1966-04-01;--:--;   -999.000;      0.133; 100
1966-05-01;--:--;   -999.000;      0.665; 100
1966-06-01;--:--;   -999.000;      1.581; 100
